Tiempo_Elastico,Posicion_1_Elastico,Velocidad_1_Elastico,Aceleracion_1_Elastico,Posicion_2_Elastico,Velocidad_2_Elastico,Aceleracion_2_Elastico
3.35,-0.3840,0.227,0.408,0.2860,-0.292,-0.655
3.36,-0.3800,0.244,0.117,0.2820,-0.298,-0.382
3.37,-0.3770,0.231,-0.273,0.2780,-0.300,-0.143
3.39,-0.3740,0.227,-0.095,0.2740,-0.300,-0.000
3.40,-0.3710,0.227,0.239,0.2700,-0.300,0.143
3.41,-0.3680,0.233,0.512,0.2660,-0.298,0.382
3.43,-0.3650,0.250,0.156,0.2620,-0.292,0.655
3.44,-0.3610,0.246,-0.668,0.2580,-0.273,0.395
3.45,-0.3580,0.215,-0.395,0.2550,-0.273,-0.395
3.47,-0.3560,0.227,0.408,0.2510,-0.292,-0.651
3.48,-0.3520,0.244,0.117,0.2470,-0.298,-0.352
3.49,-0.3490,0.231,-0.278,0.2430,-0.300,0.000
3.51,-0.3460,0.227,-0.122,0.2390,-0.298,0.352
3.52,-0.3430,0.227,0.117,0.2350,-0.292,0.655
3.53,-0.3400,0.231,0.252,0.2310,-0.273,0.425
3.55,-0.3370,0.244,-0.234,0.2280,-0.273,-0.247
3.56,-0.3330,0.225,-0.647,0.2240,-0.290,-0.269
3.57,-0.3310,0.208,0.095,0.2200,-0.290,0.304
3.59,-0.3280,0.227,0.812,0.2160,-0.273,0.395
3.60,-0.3250,0.248,0.395,0.2130,-0.271,-0.043
3.61,-0.3210,0.246,-0.556,0.2090,-0.283,-0.000
3.63,-0.3180,0.215,-0.395,0.2050,-0.271,0.043
3.64,-0.3160,0.227,0.295,0.2020,-0.273,-0.395
3.65,-0.3120,0.242,-0.122,0.1980,-0.290,-0.304
3.67,-0.3090,0.225,-0.582,0.1940,-0.290,0.273
3.68,-0.3060,0.208,-0.004,0.1900,-0.273,0.278
3.69,-0.3040,0.225,0.556,0.1870,-0.273,-0.278
3.71,-0.3000,0.242,-0.000,0.1830,-0.290,-0.273
3.72,-0.2970,0.225,-0.556,0.1790,-0.290,0.304
3.73,-0.2940,0.208,-0.004,0.1750,-0.273,0.399
3.75,-0.2920,0.225,0.530,0.1720,-0.271,-0.013
3.76,-0.2880,0.242,-0.117,0.1680,-0.283,0.143
3.77,-0.2850,0.223,-0.790,0.1640,-0.269,0.399
3.79,-0.2820,0.202,-0.278,0.1610,-0.265,0.143
3.80,-0.2800,0.206,0.790,0.1570,-0.265,-0.143
3.81,-0.2770,0.242,0.668,0.1540,-0.269,-0.399
3.83,-0.2730,0.242,-0.556,0.1500,-0.283,-0.143
3.84,-0.2700,0.208,-0.668,0.1460,-0.271,0.013
3.85,-0.2680,0.206,0.317,0.1430,-0.273,-0.395
3.87,-0.2650,0.235,0.252,0.1390,-0.290,-0.273
3.88,-0.2610,0.223,-0.438,0.1350,-0.290,0.421
3.89,-0.2590,0.206,-0.117,0.1310,-0.271,0.660
3.91,-0.2560,0.219,0.304,0.1280,-0.265,0.382
3.92,-0.2530,0.223,0.234,0.1240,-0.263,0.148
3.93,-0.2500,0.225,0.087,0.1210,-0.263,0.026
3.95,-0.2470,0.225,-0.122,0.1170,-0.263,-0.022
3.96,-0.2440,0.223,-0.378,0.1140,-0.263,-0.122
3.97,-0.2410,0.217,-0.655,0.1100,-0.265,-0.260
3.99,-0.2380,0.198,-0.395,0.1070,-0.269,-0.395
4.00,-0.2360,0.198,0.395,0.1030,-0.283,0.000
